Unnamed: 0,Phrase,Class,Class_index
43137,Where should I put a tobacco pack,TOBACCO PACK,49.0
36464,Where do I throw my seasoning packets,CONDIMENT PACKETS,6.0
23615,In which bin should I throw my metro ticket ?,TRANSPORT TICKET,46.0
736,Can I recycle this throwaway cup ?,PAPER CUP,19.0
4569,"Excuse me, can you help me ? I have to throw a pepsi glass bottle",GLASS BOTTLE,11.0
35051,Where do I put my organic packaging ?,COMPOSTABLE PACKAGING,5.0
25659,Is there anyway I could get rid of a sony phone ?,SMARTPHONE,16.0
33705,Where do I have to throw a salt packets ?,CONDIMENT PACKETS,6.0
22978,In which bin should I throw this fiber bowl ?,PAPER BOWL,18.0
16418,"I have my plastic fork, where should I throw it ?",PLASTIC CUTLERY,33.0
35460,Where do I put a pasta ?,ORGANIC SCRAPS,17.0
9744,I have [a/an] soft drink can,ALUMINIUM CAN,0.0
19793,In what trash does my sugar packets go ?,CONDIMENT PACKETS,6.0
16573,"I have this plastic crate, where should I throw it ?",PLASTIC TRAY,42.0
34359,Where do I have to throw a google phone charger ?,PHONE CHARGER,26.0
35672,Where do I put my diaries ?,PAPER SHEET,23.0
24247,Is this samsung phone recyclable ?,SMARTPHONE,16.0
7201,"Hey, in which trash does this earth-friendly packaging goes ? Thank you",COMPOSTABLE PACKAGING,5.0
2868,"Excuse me, can you help me ? I don't know where to throw a stella artois can",ALUMINIUM CAN,0.0
22466,In which bin should I throw my lucky strike pack ?,CIGARETTE PACK,4.0
7070,"Hey, in which trash does my sierra nevada can goes ? Thank you",ALUMINIUM CAN,0.0
21985,In which bin does this plastic fork go ?,PLASTIC CUTLERY,33.0
30533,what bin is best suited for my tea pouch ?,TEA BAG,44.0
30736,Where can I put this leinenkugel's can ?,ALUMINIUM CAN,0.0
30758,Where can I put my canned fruit  ?,ALUMINIUM CAN,0.0
40823,Where does my rest of [food] go ?,GLASS BOTTLE,11.0
21375,In which bin does a apple charger go ?,LAPTOP CHARGER,13.0
44276,Where to throw my plastic containers ?,PLASTIC DISH,34.0
35161,Where do I put this mercury-oxide battery ?,CYLINDRICAL BATTERY,9.0
12048,"I have [a/an] sustainable tray, where do I throw it  ?",PAPER TRAY,25.0
18885,I want to throw a casaviva,PAPER MAGASINE,20.0
15387,"I have a corona can, where should I throw it ?",ALUMINIUM CAN,0.0
8178,"Hey, in which trash does a biscuit wrappers goes ? Thank you",PLASTIC SNACK PACKAGING,38.0
43666,Where to throw this microsoft charger ?,LAPTOP CHARGER,13.0
2417,Could I throw my plastic bowl in this trash ?,PLASTIC BOWL,30.0
9750,I have [a/an] pepsi can,ALUMINIUM CAN,0.0
25847,Is there anyway I could get rid of my casaviva ?,PAPER MAGASINE,20.0
26186,"Is there anyway I could get rid of my plastic utensils (forks, spoons, knives) ?",PLASTIC DISH,34.0
16247,"I have my vivo phone charger, where should I throw it ?",PHONE CHARGER,26.0
7969,"Hey, in which trash does this gatorade plastic bottle goes ? Thank you",PLASTIC BOTTLE,29.0
24523,Is this notepads recyclable ?,PAPER SHEET,23.0
21547,In which bin does this bread and baked goods go ?,ORGANIC SCRAPS,17.0
21954,In which bin does a plastic glass go ?,PLASTIC CUP,32.0
21018,In which bin does a canned fish  go ?,ALUMINIUM CAN,0.0
10791,I have [a/an] minute maid plastic cap,PLASTIC CAP,31.0
26176,Is there anyway I could get rid of this plastic trays ?,PLASTIC DISH,34.0
30039,what bin is best suited for a fiber-based packaging ?,PAPER PACKAGING,21.0
19962,In what trash does a glass urn go ?,GLASS JAR,12.0
39161,Where does my l&m pack goes?,CIGARETTE PACK,4.0
16963,I wonder where I should throw this carbon-neutral packaging ?,COMPOSTABLE PACKAGING,5.0
41933,Where should I put my marlboro pack,CIGARETTE PACK,4.0
20459,In what trash does my t-shirt bag go ?,PLASTIC BAG,28.0
6821,"Hey, I'm going to throw my plastic container",PLASTIC TRAY,42.0
34260,Where do I have to throw a page ?,PAPER SHEET,23.0
23059,In which bin should I throw this la cucina italiana ?,PAPER MAGASINE,20.0
23297,In which bin should I throw my plastic bowl ?,PLASTIC BOWL,30.0
30787,Where can I put this cigarette butt ?,CIGARETTE BUTT,3.0
17048,I wonder where I should throw my lithium battery ?,CYLINDRICAL BATTERY,9.0
18377,I want to throw my spice packets,CONDIMENT PACKETS,6.0
681,Can I recycle a takeaway bowl ?,PAPER BOWL,18.0
2593,Could I throw this paperboard containers with plastic windows in this trash ?,MIXED PAPER-PLASTIC PACKAGING,37.0
9235,"Hi trash, where should I discard this paper tray ?",PAPER TRAY,25.0
40671,Where does my rest of [food] go ?,CONDIMENT PACKETS,6.0
38925,Where does a metro ticket belong?,TRANSPORT TICKET,46.0
9976,I have [a/an] plant-based packaging,COMPOSTABLE PACKAGING,5.0
7247,"Hey, in which trash does my condiment pouches goes ? Thank you",CONDIMENT PACKETS,6.0
884,Can I recycle my paper tray ?,PAPER TRAY,25.0
25812,Is there anyway I could get rid of a panorama ?,PAPER MAGASINE,20.0
6556,"Hey, I'm going to throw this plastic pouch",PLASTIC BAG,28.0
43015,Where should I put this plastic pallet,PLASTIC TRAY,42.0
2863,"Excuse me, can you help me ? I don't know where to throw this heineken can",ALUMINIUM CAN,0.0
17201,I wonder where I should throw my apple charger ?,LAPTOP CHARGER,13.0
9451,"Hi trash, where should I discard this plastic cutlery ?",PLASTIC CUTLERY,33.0
36722,Where do I throw my pill blister,MEDS BLISTER,14.0
29123,Should I recycle my receipt ?,RECEIPT,43.0
41783,Where should I put my 7up can,ALUMINIUM CAN,0.0
8140,"Hey, in which trash does this plastic bottles goes ? Thank you",PLASTIC PACKAGING,36.0
28989,Should I recycle a vinyl glove ?,PLASTIC GLOVES,35.0
35232,Where do I put a menabrea glass bottle ?,GLASS BOTTLE,11.0
35360,Where do I put my metal cap ?,METAL CAP,15.0
14532,"I have a fruit scraps to throw, where should I put it ?",ORGANIC SCRAPS,17.0
11478,"I have [a/an] lithium battery, where do I throw it  ?",CYLINDRICAL BATTERY,9.0
34119,Where do I have to throw a cardboard bowl ?,PAPER BOWL,18.0
38994,Where does a mountain dew can goes?,ALUMINIUM CAN,0.0
34893,Where do I put a pabst blue ribbon can ?,ALUMINIUM CAN,0.0
36032,Where do I put my paper bag ?,PAPER FOOD PACKAGING,39.0
21582,In which bin does a compostable bowl go ?,PAPER BOWL,18.0
27448,Open for my majestic nestle plastic bottle,PLASTIC BOTTLE,29.0
39483,Where does a asus charger goes?,LAPTOP CHARGER,13.0
2247,Could I throw a notebooks in this trash ?,PAPER SHEET,23.0
32968,Where can I throw this google phone charger ?,PHONE CHARGER,26.0
30578,what bin is best suited for my subway ticket ?,TRANSPORT TICKET,46.0
2328,Could I throw a oneplus phone charger in this trash ?,PHONE CHARGER,26.0
13517,I have my plastic pouch to throw,PLASTIC BAG,28.0
21565,In which bin does this coffee bowl go ?,PAPER BOWL,18.0
22461,In which bin should I throw a kent pack ?,CIGARETTE PACK,4.0
38105,Where does my razer charger belong?,LAPTOP CHARGER,13.0
23575,In which bin should I throw this tea pocket ?,TEA BAG,44.0
3455,"Excuse me, can you help me ? I don't know where to throw my meat and fish scraps",ORGANIC SCRAPS,17.0
22858,In which bin should I throw this google phone ?,SMARTPHONE,16.0
20279,In what trash does my casaviva go ?,PAPER MAGASINE,20.0
15671,"I have my silver-oxide battery, where should I throw it ?",CYLINDRICAL BATTERY,9.0
17756,I wonder where I should throw my evian plastic cap ?,PLASTIC CAP,31.0
2791,"Excuse me, can you help me ? I don't know where to throw this pepsi can",ALUMINIUM CAN,0.0
14794,"I have this ledgers to throw, where should I put it ?",PAPER SHEET,23.0
17582,I wonder where I should throw my books ?,PAPER SHEET,23.0
14884,"I have this ldpe bag to throw, where should I put it ?",PLASTIC BAG,28.0
27828,Open for my majestic package of rolls,TOBACCO PACK,49.0
33766,Where do I have to throw this silver-oxide battery ?,CYLINDRICAL BATTERY,9.0
25942,Is there anyway I could get rid of this paperboard tray ?,PAPER TRAY,25.0
28023,Should I recycle a l&m pack ?,CIGARETTE PACK,4.0
4305,"Excuse me, can you help me ? I have to throw a canned soup",ALUMINIUM CAN,0.0
43628,Where to throw my glass urn ?,GLASS JAR,12.0
18275,I want to throw my chesterfield pack,CIGARETTE PACK,4.0
17987,I wonder where I should throw my receipt ?,RECEIPT,43.0
22528,In which bin should I throw this climate-neutral packaging ?,COMPOSTABLE PACKAGING,5.0
17841,I wonder where I should throw a plastic salad bowls ?,PLASTIC DISH,34.0
40978,Where does my rest of [food] go ?,ORGANIC SCRAPS,17.0
24114,Is a 7-up glass bottle recyclable ?,GLASS BOTTLE,11.0
40568,Where does my rest of [food] go ?,CIGARETTE PACK,4.0
41396,Where does my rest of [food] go ?,PLASTIC CAP,31.0
36765,Where do I throw a nestea cap,METAL CAP,15.0
13972,"I have this ichnusa can to throw, where should I put it ?",ALUMINIUM CAN,0.0
37348,Where do I throw this nitrile glove,PLASTIC GLOVES,35.0
30752,Where can I put my canned vegetables ?,ALUMINIUM CAN,0.0
10146,I have [a/an] evian glass bottle,GLASS BOTTLE,11.0
43559,Where to throw my guinness glass bottle ?,GLASS BOTTLE,11.0
27474,Open for my majestic plastic cap,PLASTIC CAP,31.0
27849,Should I recycle a sprite can ?,ALUMINIUM CAN,0.0
35006,Where do I put my davidoff pack ?,CIGARETTE PACK,4.0
21189,In which bin does a vinegar packets go ?,CONDIMENT PACKETS,6.0
4704,"Excuse me, can you help me ? I have to throw a pill blister",MEDS BLISTER,14.0
18995,I want to throw my biodegradable tray,PAPER TRAY,25.0
24759,Is a plastic beaker recyclable ?,PLASTIC CUP,32.0
45385,I would like to throw this sheet of paper,PAPER SHEET,23.0
42466,Where should I put this fiber bowl,PAPER BOWL,18.0
9829,I have [a/an] stella artois can,ALUMINIUM CAN,0.0
29512,what bin is best suited for this spice packets ?,CONDIMENT PACKETS,6.0
14200,"I have this spice packets to throw, where should I put it ?",CONDIMENT PACKETS,6.0
4246,"Excuse me, can you help me ? I have to throw this birra antoniana can",ALUMINIUM CAN,0.0
28212,Should I recycle a cloth masks ?,FACE MASK,10.0
11625,"I have [a/an] preserve jar, where do I throw it  ?",GLASS JAR,12.0
28352,Should I recycle my acer charger ?,LAPTOP CHARGER,13.0
25448,Is there anyway I could get rid of my coca-cola glass bottle ?,GLASS BOTTLE,11.0
26006,Is there anyway I could get rid of my nokia phone charger ?,PHONE CHARGER,26.0
26477,Open for my majestic crush can,ALUMINIUM CAN,0.0
31930,Where can I put this tea satchet ?,TEA BAG,44.0
28344,Should I recycle a hp charger ?,LAPTOP CHARGER,13.0
11476,"I have [a/an] alkaline battery, where do I throw it  ?",CYLINDRICAL BATTERY,9.0
15390,"I have a heineken can, where should I throw it ?",ALUMINIUM CAN,0.0
7576,"Hey, in which trash does this apples goes ? Thank you",ORGANIC SCRAPS,17.0
28446,Should I recycle a nokia phone ?,SMARTPHONE,16.0
13272,I have a fiber cup to throw,PAPER CUP,19.0
2372,Could I throw my ziplock bag in this trash ?,PLASTIC BAG,28.0
37762,Where does this chesterfield pack belong?,CIGARETTE PACK,4.0
13702,I have this plastic wrap to throw,PLASTIC PACKAGING,36.0
9604,"Hi trash, where should I discard this plastic container ?",PLASTIC TRAY,42.0
4207,"Excuse me, can you help me ? I have to throw this a&w root beer can",ALUMINIUM CAN,0.0
27611,Open for my majestic protective glove,PLASTIC GLOVES,35.0
898,Can I recycle this biodegradable tray ?,PAPER TRAY,25.0
35575,Where do I put this l'espresso ?,PAPER MAGASINE,20.0
16792,I wonder where I should throw this blue moon can ?,ALUMINIUM CAN,0.0
26052,Is there anyway I could get rid of a pepsi plastic bottle ?,PLASTIC BOTTLE,29.0
31857,Where can I put a macdonald bag ?,PAPER FOOD PACKAGING,39.0
31060,Where can I put this brewfist glass bottle ?,GLASS BOTTLE,11.0
19006,I want to throw this renewable tray,PAPER TRAY,25.0
40884,Where does my rest of [food] go ?,LAPTOP CHARGER,13.0
26550,Open for my majestic modelo can,ALUMINIUM CAN,0.0
22633,In which bin should I throw this mercury-oxide battery ?,CYLINDRICAL BATTERY,9.0
24441,Is a donna moderna recyclable ?,PAPER MAGASINE,20.0
44388,Where to throw a takeaway paper bag ?,PAPER FOOD PACKAGING,39.0
5304,"Excuse me, can you help me ? I have to throw a plastic utensils (forks, spoons, knives)",PLASTIC DISH,34.0
40425,Where does my rest of [food] go ?,ALUMINIUM CAN,0.0
29607,what bin is best suited for a surgical masks ?,FACE MASK,10.0
17998,I wonder where I should throw this tea bag ?,TEA BAG,44.0
29524,what bin is best suited for this mustard packets ?,CONDIMENT PACKETS,6.0
44701,I would like to throw this aluminium sheet,ALUMINIUM SHEET,1.0
5568,"Hey, I'm going to throw a soft drink can",ALUMINIUM CAN,0.0
35417,Where do I put my apples ?,ORGANIC SCRAPS,17.0
10802,I have [a/an] voss plastic cap,PLASTIC CAP,31.0
42559,Where should I put this topolino (for children),PAPER MAGASINE,20.0
24341,Is my paper bowl recyclable ?,PAPER BOWL,18.0
4070,"Excuse me, can you help me ? I don't know where to throw my invoice",RECEIPT,43.0
41824,Where should I put this brewfist can,ALUMINIUM CAN,0.0
27406,Open for my majestic plastic bag,PLASTIC BAG,28.0
26769,Open for my majestic tissue pieces,CRUMBLED TISSUE,8.0
23955,Is a mustard packets recyclable ?,CONDIMENT PACKETS,6.0
21035,In which bin does my canned milk go ?,ALUMINIUM CAN,0.0
15970,"I have this nut shells, where should I throw it ?",ORGANIC SCRAPS,17.0
45638,I would like to throw my travel cup,PLASTIC CUP,32.0
11042,I have [a/an] tea sachet,TEA BAG,44.0
18159,I want to throw a brewfist can,ALUMINIUM CAN,0.0
32354,Where can I throw my battery type ?,CYLINDRICAL BATTERY,9.0
27324,Open for my majestic books,PAPER SHEET,23.0
18844,I want to throw this pulp cup,PAPER CUP,19.0
22902,In which bin should I throw a pineapples ?,ORGANIC SCRAPS,17.0
18310,I want to throw this compostable packaging,COMPOSTABLE PACKAGING,5.0
34200,Where do I have to throw a oggi ?,PAPER MAGASINE,20.0
35938,Where do I put this plastic salad bowls ?,PLASTIC DISH,34.0
12959,I have my birra del borgo glass bottle to throw,GLASS BOTTLE,11.0
28560,Should I recycle a takeaway cup ?,PAPER CUP,19.0
22234,In which bin does this wooden cutlery go ?,WOODEN CUTLERY,47.0
949,Can I recycle this nokia phone charger ?,PHONE CHARGER,26.0
19101,I want to throw a dasani plastic bottle,PLASTIC BOTTLE,29.0
23879,Is my compostable packaging recyclable ?,COMPOSTABLE PACKAGING,5.0
38282,Where does my throwaway bowl belong?,PAPER BOWL,18.0
3916,"Excuse me, can you help me ? I don't know where to throw this plastic lids for dishes",PLASTIC DISH,34.0
25131,Is there anyway I could get rid of a corona can ?,ALUMINIUM CAN,0.0
16403,"I have my plastic mug, where should I throw it ?",PLASTIC CUP,32.0
31156,Where can I put this tablet blister ?,MEDS BLISTER,14.0
34365,Where do I have to throw a plastic bag ?,PLASTIC BAG,28.0
30450,what bin is best suited for a biscuit wrappers ?,PLASTIC SNACK PACKAGING,38.0
21149,In which bin does my sauce packets go ?,CONDIMENT PACKETS,6.0
16900,I wonder where I should throw this pall mall pack ?,CIGARETTE PACK,4.0
22803,In which bin should I throw a tablet blister ?,MEDS BLISTER,14.0
1487,Could I throw my pabst blue ribbon can in this trash ?,ALUMINIUM CAN,0.0
